Date,AAPL,ABNB,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,CDNS,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSX,CTAS,CTSH,DDOG,DLTR,DOCU,DXCM,EA,EBAY,EXC,FAST,FISV,FTNT,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MRVL,MSFT,MTCH,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PANW,PAYX,PCAR,PDD,PEP,PTON,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TEAM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL,ZM,ZS
2018-01-02,43.064998626708984,,90.27999877929688,115.98999786376953,107.12000274658203,72.41000366210938,224.6199951171875,53.040000915527344,10.979999542236328,177.0,59.45050048828125,148.5500030517578,177.72999572753906,64.30999755859375,267.010009765625,242.39999389648438,334.1700134277344,1784.75,42.04999923706055,348.9700012207031,41.06999969482422,188.32000732421875,43.599998474121094,,38.86000061035156,18.780000686645508,156.85000610351562,70.94999694824219,,108.69000244140625,,14.4975004196167,109.44999694824219,38.060001373291016,28.238231658935547,27.270000457763672,65.17500305175781,8.869999885559082,74.0999984741211,53.25,53.660499572753906,147.3232421875,157.80999755859375,224.02999877929688,46.849998474121094,158.72000122070312,125.08333587646484,43.279998779296875,95.2699966430664,77.0199966430664,106.12999725341797,189.27999877929688,79.69000244140625,133.75,45.20500183105469,42.40999984741211,322.5799865722656,62.709999084472656,,22.200000762939453,85.94999694824219,32.380001068115234,43.66999816894531,201.07000732421875,69.67400360107422,49.837501525878906,117.94999694824219,26.459999084472656,249.25999450683594,49.516666412353516,67.30999755859375,73.0199966430664,,118.05999755859375,,73.83999633789062,65.19999694824219,382.6000061035156,80.5,57.630001068115234,56.130001068115234,5.210000038146973,86.02999877929688,86.62999725341797,98.43000030517578,47.060001373291016,64.04000091552734,21.368667602539062,105.56999969482422,95.83000183105469,109.47000122070312,152.91000366210938,74.94999694824219,103.4000015258789,47.810001373291016,,
2018-01-03,43.057498931884766,,91.4000015258789,117.25,109.37999725341797,71.80000305175781,231.1999969482422,53.97999954223633,11.550000190734863,180.33999633789062,60.209999084472656,151.4199981689453,179.0800018310547,65.30999755859375,269.92999267578125,245.5500030517578,339.8500061035156,1824.1600341796875,42.93000030517578,353.0299987792969,40.40999984741211,190.5800018310547,43.38999938964844,,39.16999816894531,19.016666412353516,158.4199981689453,71.55000305175781,,108.0199966430664,,14.520000457763672,109.75,39.220001220703125,27.860200881958008,27.280000686645508,65.70500183105469,9.005999565124512,74.66000366210938,54.124000549316406,54.57600021362305,146.10601806640625,162.0500030517578,230.32000732421875,45.2599983215332,159.16000366210938,127.94000244140625,43.5099983215332,95.31999969482422,77.01000213623047,107.37000274658203,192.5,78.58999633789062,136.4499969482422,45.8849983215332,42.58000183105469,329.2799987792969,63.119998931884766,,22.889999389648438,86.3499984741211,32.0099983215332,44.97999954223633,205.0500030517578,68.39800262451172,53.11750030517578,118.08000183105469,26.489999771118164,253.83999633789062,49.893333435058594,68.27999877929688,73.91000366210938,,117.75,,76.75,65.94000244140625,393.7799987792969,80.44999694824219,58.709999084472656,56.61000061035156,5.210000038146973,87.05999755859375,88.16000366210938,99.93000030517578,50.400001525878906,63.61000061035156,21.149999618530273,108.43000030517578,95.55000305175781,110.9000015258789,152.00999450683594,75.51000213623047,105.16999816894531,47.4900016784668,,
2018-01-04,43.25749969482422,,91.30000305175781,118.37000274658203,112.06999969482422,70.94999694824219,233.3000030517578,54.290000915527344,12.119999885559082,179.5800018310547,60.47949981689453,151.82000732421875,180.75,64.66000366210938,270.0199890136719,245.72999572753906,339.989990234375,1807.25,43.58000183105469,349.7900085449219,40.66999816894531,189.10000610351562,43.7400016784668,,38.9900016784668,18.926666259765625,161.1699981689453,72.68000030517578,,108.86000061035156,,13.0625,107.19000244140625,38.56999969482422,27.46790313720703,27.389999389648438,66.62999725341797,8.800000190734863,73.9000015258789,54.31999969482422,54.78799819946289,148.08041381835938,163.9600067138672,232.99000549316406,44.43000030517578,162.00999450683594,125.63999938964844,43.66999816894531,95.7699966430664,77.91000366210938,107.55999755859375,193.3800048828125,79.8499984741211,135.6999969482422,45.994998931884766,42.68000030517578,325.8800048828125,63.36000061035156,,23.40999984741211,87.11000061035156,32.130001068115234,46.880001068115234,205.6300048828125,68.00199890136719,53.397499084472656,117.87000274658203,26.56999969482422,257.67999267578125,49.753334045410156,68.91999816894531,74.8499984741211,,118.33000183105469,,76.7300033569336,66.02999877929688,382.95001220703125,80.91000366210938,58.93000030517578,55.529998779296875,5.309999942779541,87.88999938964844,87.94999694824219,100.7699966430664,51.599998474121094,63.0,20.974666595458984,108.29000091552734,96.02999877929688,111.47000122070312,153.07000732421875,71.5999984741211,109.25,47.119998931884766,,
2018-01-05,43.75,,91.66999816894531,118.30000305175781,110.83999633789062,70.80000305175781,241.07000732421875,54.599998474121094,11.880000114440918,180.64999389648438,61.457000732421875,152.4499969482422,182.8699951171875,66.37000274658203,271.6199951171875,245.13999938964844,342.489990234375,1823.5400390625,43.9900016784668,350.8800048828125,41.040000915527344,187.75,43.529998779296875,,39.529998779296875,19.239999771118164,161.63999938964844,73.30000305175781,,111.13999938964844,,13.3149995803833,112.38999938964844,39.689998626708984,27.23965835571289,27.44499969482422,67.29000091552734,8.819999694824219,74.5199966430664,55.11149978637695,55.51449966430664,149.11553955078125,166.60000610351562,228.1699981689453,44.7400016784668,164.11000061035156,126.336669921875,45.63999938964844,95.5,77.83999633789062,109.86000061035156,196.39999389648438,79.43000030517578,134.39999389648438,46.130001068115234,43.22999954223633,330.8699951171875,63.4900016784668,,23.0,88.19000244140625,31.799999237060547,45.79999923706055,209.99000549316406,68.85399627685547,53.849998474121094,118.05000305175781,26.540000915527344,260.2799987792969,50.9900016784668,68.70999908447266,75.0999984741211,,118.66999816894531,,78.69999694824219,66.47000122070312,385.1000061035156,81.97000122070312,59.61000061035156,55.0099983215332,5.329999923706055,88.93000030517578,87.87999725341797,101.2300033569336,51.869998931884766,64.5999984741211,21.10533332824707,109.12000274658203,96.87999725341797,113.0,155.69000244140625,72.91999816894531,109.31999969482422,46.790000915527344,,
2018-01-08,43.587501525878906,,91.83000183105469,117.94000244140625,111.41999816894531,71.41999816894531,248.89999389648438,55.91999816894531,12.279999732971191,180.60000610351562,62.34349822998047,153.7100067138672,183.8300018310547,66.62999725341797,272.2699890136719,250.82000732421875,329.6499938964844,1851.81005859375,44.91999816894531,356.54998779296875,40.47999954223633,188.47999572753906,43.54999923706055,,39.939998626708984,19.579999923706055,161.89999389648438,73.37000274658203,,109.0999984741211,,13.859999656677246,113.22000122070312,39.79999923706055,27.53209686279297,27.735000610351562,67.42500305175781,9.0,74.4000015258789,55.34700012207031,55.71049880981445,148.31044006347656,165.0800018310547,227.05999755859375,44.7400016784668,164.2100067138672,130.6199951171875,46.099998474121094,95.68000030517578,78.4800033569336,110.16000366210938,197.8800048828125,79.04000091552734,136.33999633789062,46.310001373291016,43.0099983215332,340.7900085449219,64.02999877929688,,23.170000076293945,88.27999877929688,32.09000015258789,45.54999923706055,212.0500030517578,68.9540023803711,55.5,118.27999877929688,26.389999389648438,260.0,51.21666717529297,68.27999877929688,74.86000061035156,,117.98999786376953,,79.05000305175781,66.2699966430664,372.5199890136719,81.22000122070312,59.310001373291016,54.68000030517578,5.309999942779541,89.76000213623047,89.9800033569336,101.25,51.90999984741211,65.0999984741211,22.42733383178711,109.63999938964844,97.0,114.30999755859375,156.88999938964844,73.8499984741211,109.94000244140625,47.13999938964844,,
2018-01-09,43.58250045776367,,91.63999938964844,118.76000213623047,112.11000061035156,70.58000183105469,251.44000244140625,54.86000061035156,11.819999694824219,183.3800048828125,62.6349983215332,155.13999938964844,182.83999633789062,66.19000244140625,268.5,254.72999572753906,336.3599853515625,1865.2900390625,45.06999969482422,354.760009765625,40.61000061035156,186.2899932861328,43.47999954223633,,39.689998626708984,19.753332138061523,161.22000122070312,73.45999908447266,,109.69000244140625,,13.649999618530273,112.18000030517578,39.529998779296875,27.218259811401367,27.68000030517578,68.1449966430664,8.86400032043457,78.0999984741211,55.3129997253418,55.63949966430664,149.52767944335938,165.72999572753906,242.8000030517578,43.619998931884766,164.85000610351562,132.53334045410156,46.130001068115234,95.5199966430664,78.62000274658203,109.19999694824219,197.57000732421875,79.51000213623047,137.7100067138672,46.255001068115234,42.9900016784668,337.6499938964844,65.4800033569336,,23.149999618530273,88.22000122070312,32.2400016784668,42.970001220703125,209.30999755859375,67.80999755859375,55.48500061035156,118.44999694824219,26.420000076293945,261.260009765625,50.76333236694336,67.81999969482422,74.83000183105469,,118.08000183105469,,79.19000244140625,65.2699966430664,368.6499938964844,80.51000213623047,59.18000030517578,55.43000030517578,5.309999942779541,89.69000244140625,89.47000122070312,100.68000030517578,52.720001220703125,65.5999984741211,22.246000289916992,110.38999938964844,96.7300033569336,112.97000122070312,156.00999450683594,73.41999816894531,109.69999694824219,46.59000015258789,,
2018-01-10,43.5724983215332,,90.11000061035156,117.6500015258789,111.47000122070312,69.5,248.30999755859375,53.29999923706055,11.960000038146973,182.86000061035156,62.71649932861328,152.11000061035156,180.7100067138672,66.83000183105469,262.8299865722656,248.9499969482422,336.7200012207031,1872.9100341796875,44.84000015258789,350.8299865722656,41.09000015258789,185.4199981689453,43.52000045776367,,39.90999984741211,19.49333381652832,160.3300018310547,73.97000122070312,,109.62999725341797,,14.649999618530273,112.25,37.70000076293945,27.06847381591797,27.204999923706055,68.50499725341797,8.819999694824219,78.70999908447266,55.13050079345703,55.50699996948242,150.56280517578125,166.13999938964844,242.58999633789062,42.5,163.50999450683594,141.25332641601562,46.45000076293945,95.66999816894531,77.88999938964844,106.27999877929688,191.66000366210938,78.86000061035156,137.6999969482422,45.474998474121094,42.630001068115234,339.54998779296875,63.59000015258789,,23.139999389648438,87.81999969482422,31.940000534057617,43.310001373291016,212.52000427246094,66.9800033569336,55.91999816894531,119.1500015258789,26.510000228881836,258.45001220703125,51.02000045776367,67.54000091552734,74.11000061035156,,117.4800033569336,,79.37000274658203,65.26000213623047,366.4599914550781,80.68000030517578,59.81999969482422,53.380001068115234,5.559999942779541,89.33999633789062,88.97000122070312,98.5999984741211,51.04999923706055,63.88999938964844,22.31999969482422,109.69999694824219,96.33999633789062,111.95999908447266,157.3800048828125,74.08000183105469,114.13999938964844,46.130001068115234,,
2018-01-11,43.81999969482422,,91.19000244140625,117.18000030517578,113.26000213623047,68.7300033569336,252.91000366210938,53.20000076293945,12.140000343322754,181.9600067138672,63.83399963378906,152.2100067138672,178.5500030517578,69.23999786376953,263.5,250.22000122070312,333.07000732421875,1893.0999755859375,44.869998931884766,355.2699890136719,42.599998474121094,189.3800048828125,44.5,,40.099998474121094,19.56333351135254,162.0500030517578,74.01000213623047,,111.3499984741211,,14.555000305175781,112.0,37.810001373291016,27.396575927734375,27.545000076293945,68.91500091552734,8.85200023651123,79.05999755859375,55.2760009765625,55.602500915527344,151.35830688476562,171.50999450683594,240.0399932861328,43.40999984741211,163.0,140.4566650390625,46.61000061035156,95.63999938964844,77.12999725341797,106.23999786376953,189.1199951171875,78.98999786376953,139.42999267578125,46.05500030517578,42.5099983215332,342.0199890136719,63.959999084472656,,23.149999618530273,88.08000183105469,32.29999923706055,42.81999969482422,217.24000549316406,65.4800033569336,56.02000045776367,119.25,26.56999969482422,259.75,51.38666534423828,66.86000061035156,75.56999969482422,,116.87999725341797,,79.75,65.43000030517578,368.260009765625,82.55999755859375,60.0,51.779998779296875,5.5,89.70999908447266,89.44999694824219,99.91999816894531,52.040000915527344,63.84000015258789,22.530000686645508,110.66999816894531,96.66999816894531,112.2300033569336,158.39999389648438,75.37999725341797,114.23999786376953,45.52000045776367,,
2018-01-12,44.272499084472656,,92.0199966430664,118.47000122070312,115.91000366210938,67.45999908447266,258.42999267578125,53.45000076293945,12.020000457763672,185.0399932861328,65.26000213623047,154.22000122070312,180.8699951171875,70.36000061035156,264.2900085449219,253.0399932861328,335.95001220703125,1919.4000244140625,45.06999969482422,354.0,42.439998626708984,191.83999633789062,44.849998474121094,,40.869998931884766,19.75,160.4600067138672,74.55999755859375,,114.83999633789062,,14.1875,113.12999725341797,38.02000045776367,27.38231086730957,27.795000076293945,68.61000061035156,8.98799991607666,79.0199966430664,56.112998962402344,56.532501220703125,152.4605255126953,173.24000549316406,244.72000122070312,43.2400016784668,164.50999450683594,139.67999267578125,46.400001525878906,95.23999786376953,77.3499984741211,107.29000091552734,188.50999450683594,78.83999633789062,139.77999877929688,46.720001220703125,42.470001220703125,342.4700012207031,63.77000045776367,,23.84000015258789,89.5999984741211,32.63999938964844,42.810001373291016,221.22999572753906,65.76599884033203,55.744998931884766,119.58000183105469,27.0,258.6000061035156,51.17333221435547,67.66000366210938,76.4000015258789,,117.37999725341797,,80.54000091552734,65.37999725341797,366.9599914550781,83.58000183105469,60.400001525878906,52.36000061035156,5.480000019073486,90.37000274658203,89.63999938964844,101.20999908447266,52.56999969482422,63.68000030517578,22.4146671295166,112.72000122070312,97.5,113.61000061035156,157.92999267578125,76.06999969482422,112.9000015258789,45.150001525878906,,
2018-01-16,44.04750061035156,,93.0999984741211,119.38999938964844,111.9800033569336,67.5,263.8800048828125,54.5,11.90999984741211,185.5399932861328,65.24299621582031,153.38999938964844,186.3800048828125,68.70999908447266,263.25,257.7799987792969,338.8500061035156,1919.469970703125,44.279998779296875,352.92999267578125,41.81999969482422,191.52999877929688,44.31999969482422,,40.540000915527344,19.376667022705078,161.22000122070312,74.7300033569336,,112.87999725341797,,14.102499961853027,111.91999816894531,37.68000030517578,27.43937110900879,27.719999313354492,68.75499725341797,8.868000030517578,80.25,56.0880012512207,56.53499984741211,151.32955932617188,176.10000610351562,241.4199981689453,43.13999938964844,162.2899932861328,140.02333068847656,46.459999084472656,94.91000366210938,78.63999938964844,107.66000366210938,190.38999938964844,76.69999694824219,139.1199951171875,46.665000915527344,42.9900016784668,339.8500061035156,64.55999755859375,,23.579999923706055,88.3499984741211,31.399999618530273,42.91999816894531,221.52999877929688,64.41600036621094,55.02750015258789,119.4000015258789,26.350000381469727,257.8900146484375,50.53333282470703,68.26000213623047,75.97000122070312,,117.86000061035156,,80.41999816894531,68.25,370.2099914550781,80.87000274658203,60.560001373291016,50.95000076293945,5.380000114440918,89.2699966430664,87.12999725341797,99.86000061035156,52.81999969482422,62.970001220703125,22.67066764831543,112.91999816894531,97.19999694824219,112.6500015258789,155.7100067138672,76.02999877929688,110.08999633789062,45.290000915527344,,
